Naam,Team,Prijs
Yago Aguirre,Euskaltel - Euskadi,€2M
Giovanni Aleotti,Red Bull - BORA - hansgrohe,€2M
Clément Alleno,Burgos Burpellet BH,€2M
Nicolás Alustiza,Euskaltel - Euskadi,€2M
Rodrigo Álvarez,Burgos Burpellet BH,€2M
Matteo Ambrosini,MBH Bank CSB Telecom Fort,€2M
Mario Aparicio,Burgos Burpellet BH,€2M
Stijn Appel,BEAT Cycling Club,€2M
Yukiya Arashiro,Solution Tech-NIPPO-Rali,€2M
Jorge Arcas,Movistar Team,€2M
Franklin Archibold,Solution Tech-NIPPO-Rali,€2M
Hamish Armitt,Team Novo Nordisk,€2M
Julen Arriolabengoa,Caja Rural - Seguros RGA,€2M
Ronan Augé,Unibet Rose Rockets,€2M
AJ August,INEOS Grenadiers,€2M
Ibai Azanza,Equipo Kern Pharma,€2M
Hugo Aznar,Equipo Kern Pharma,€2M
Unai Aznar,Euskaltel - Euskadi,€2M
Xabier Azparren,Pinarello - Q36.5 Pro Cycling,€2M
Matteo Badilatti,Pinarello - Q36.5 Pro Cycling,€2M
Christian Bagatin,MBH Bank CSB Telecom Fort,€2M
Davide Bais,Team Polti VisitMalta,€2M
Mattia Bais,Team Polti VisitMalta,€2M
Abel Balderstone,Caja Rural - Seguros RGA,€2M
Maurice Ballerstedt,Alpecin - Premier Tech,€2M
Alexandre Balmer,Solution Tech-NIPPO-Rali,€2M
Will Barta,Tudor Pro Cycling Team,€2M
Cyril Barthe,Groupama - FDJ United,€2M
Ayco Bastiaens,Soudal Quick-Step,€2M
Siebe Bauwens,Tarteletto - Isorex,€2M
Sjoerd Bax,Pinarello - Q36.5 Pro Cycling,€2M
Tobias Bayer,Alpecin - Premier Tech,€2M
Hamish Beadle,Team Novo Nordisk,€2M
Dario Belletta,Team Polti VisitMalta,€2M
Lennert Belmans,Alpecin - Premier Tech,€2M
Markel Beloki,EF Education - EasyPost,€2M
Adrian Benito,Team Polti VisitMalta,€2M
George Bennett,NSN Cycling Team,€2M
Xabier Berasategi,Euskaltel - Euskadi,€2M
Julien Bernard,Lidl - Trek,€2M
Urko Berrade,Equipo Kern Pharma,€2M
Sebastian Berwick,Caja Rural - Seguros RGA,€2M
Gabriele Bessega,Team Polti VisitMalta,€2M
Tommaso Bessega,Team Polti VisitMalta,€2M
Carl-Frederik Bévort,Uno-X Mobility,€2M
Frits Biesterbos,Team Picnic PostNL,€2M
